Time,Open,High,Low,Close,Volume,Trades
2026-08-30 03:00:00,6.5769,6.7661,6.5501,6.6484,11467.0,1844
2026-08-30 04:00:00,6.6493,6.75,6.5696,6.6129,7353.0,1499
2026-08-30 05:00:00,6.5993,6.7658,6.5781,6.6903,9758.5,2004
2026-08-30 06:00:00,6.6903,6.7012,6.5945,6.684,4090.3,642
2026-08-30 07:00:00,6.6892,6.7121,6.565,6.6666,7673.3,1493
2026-08-30 08:00:00,6.649,6.6944,6.6324,6.6943,2199.4,443
2026-08-30 09:00:00,6.6943,6.74,6.5849,6.6519,8123.7,1132
2026-08-30 10:00:00,6.6519,6.7027,6.65,6.6747,2623.5,677
2026-08-30 11:00:00,6.6739,6.7178,6.671,6.7152,3664.1,1604
2026-08-30 12:00:00,6.7152,6.7304,6.6832,6.6875,2282.3,1049
2026-08-30 13:00:00,6.6875,6.699,6.662,6.699,3866.1,833
2026-08-30 14:00:00,6.6992,6.7378,6.6944,6.726,2445.9,1024
2026-08-30 15:00:00,6.7269,6.7295,6.651,6.6985,5937.4,1778
2026-08-30 16:00:00,6.6994,6.7035,6.651,6.6774,2195.2,1006
2026-08-30 17:00:00,6.6775,6.752,6.6707,6.7444,2343.3,977
2026-08-30 18:00:00,6.7398,6.7728,6.7325,6.7728,7143.8,2000
2026-08-30 19:00:00,6.7706,6.7706,6.62,6.7247,6941.7,1308
2026-08-30 20:00:00,6.7262,6.7844,6.6638,6.7134,5461.7,1258
2026-08-30 21:00:00,6.7155,6.7483,6.6405,6.7306,4268.8,1600
2026-08-30 22:00:00,6.7244,6.7616,6.7172,6.7442,1004.3,495
2026-08-30 23:00:00,6.7442,6.7612,6.7147,6.7535,1313.9,642
2026-08-31 00:00:00,6.7531,6.7669,6.7,6.7185,2409.4,846
2026-08-31 01:00:00,6.7181,6.7231,6.6819,6.6957,798.2,335
2026-08-31 02:00:00,6.6987,6.7202,6.5676,6.58,4707.4,1238
2026-08-31 03:00:00,6.5799,6.58,6.4294,6.4972,11455.0,1919
2026-08-31 04:00:00,6.4938,6.5707,6.4886,6.57,8818.8,1472
2026-08-31 05:00:00,6.5672,6.6507,6.5625,6.5689,5327.4,1210
2026-08-31 06:00:00,6.5697,6.5985,6.5284,6.5534,4388.2,964
2026-08-31 07:00:00,6.5534,6.5985,6.4306,6.4333,8598.6,2451
2026-08-31 08:00:00,6.4338,6.4346,5.4565,5.768,788909.9,34142
2026-08-31 09:00:00,5.768,5.8144,5.6393,5.6791,74583.1,2208
2026-08-31 10:00:00,5.679,5.7065,5.5552,5.639,48407.4,5574
2026-08-31 11:00:00,5.639,5.7213,5.6307,5.6464,26478.4,6886
2026-08-31 12:00:00,5.642,5.7055,5.61,5.685,12295.6,1982
2026-08-31 13:00:00,5.685,5.7778,5.6711,5.7308,27975.1,864
2026-08-31 14:00:00,5.7462,5.7933,5.5033,5.5033,50903.5,2291
2026-08-31 15:00:00,5.5197,5.6778,5.502,5.6431,20472.0,1621
2026-08-31 16:00:00,5.66,5.678,5.6071,5.6653,5976.5,600
2026-08-31 17:00:00,5.6742,5.7,5.5946,5.6335,4968.4,513
2026-08-31 18:00:00,5.6335,5.7451,5.6208,5.7294,4112.8,523
2026-08-31 19:00:00,5.7267,5.7499,5.6956,5.7049,2658.5,253
2026-08-31 20:00:00,5.7049,5.7899,5.6673,5.7653,9711.9,947
2026-08-31 21:00:00,5.7738,5.7932,5.7337,5.7649,4979.3,758
2026-08-31 22:00:00,5.7645,5.802,5.7499,5.7873,4354.3,488
2026-08-31 23:00:00,5.7874,5.8242,5.77,5.789,8578.2,2049
2026-09-01 00:00:00,5.7892,5.824,5.57,5.6098,34982.4,4330
2026-09-01 01:00:00,5.5958,6.1387,5.5432,5.7613,684406.4,32509
2026-09-01 02:00:00,5.7601,5.8269,5.6293,5.6615,97868.5,11505
2026-09-01 03:00:00,5.6614,6.03,5.6256,5.9589,131877.1,10273
2026-09-01 04:00:00,5.9566,5.9567,5.8369,5.9419,24803.3,5385
2026-09-01 05:00:00,5.9419,6.0007,5.8219,5.8753,42523.9,5803
2026-09-01 06:00:00,5.8777,6.0529,5.8777,5.9566,47513.9,5316
2026-09-01 07:00:00,5.9521,6.1155,5.9301,6.083,65668.9,7601
2026-09-01 08:00:00,6.084,6.1241,6.028,6.0473,39479.9,5780
2026-09-01 09:00:00,6.0473,6.0869,6.0356,6.0552,11706.0,2755
