Timestamp (GMT+8),Date,Time,Open (USD),High (USD),Low (USD),Close (USD),Volume (CXMT),Notional (USD),Fully Diluted Val (USD),Fully Diluted Val (RMB)
2026-07-27 01:35:00,2026-07-27,01:35,6.3272,6.3310,6.3040,6.3113,8657.1,54637.56,422099744000.00,3060223144000.00
2026-07-27 01:40:00,2026-07-27,01:40,6.3132,6.3190,6.2930,6.2968,7120.0,44833.22,421129984000.00,3053192384000.00
2026-07-27 01:45:00,2026-07-27,01:45,6.2978,6.3000,6.2929,6.2979,3445.7,21700.67,421203552000.00,3053725752000.00
2026-07-27 01:50:00,2026-07-27,01:50,6.2996,6.2999,6.2925,6.2927,4664.7,29353.56,420855776000.00,3051204376000.00
2026-07-27 01:55:00,2026-07-27,01:55,6.2949,6.3000,6.2911,6.2929,7634.4,48042.52,420869152000.00,3051301352000.00
2026-07-27 02:00:00,2026-07-27,02:00,6.2955,6.2982,6.2888,6.2897,2784.3,17512.41,420655136000.00,3049749736000.00
2026-07-27 02:05:00,2026-07-27,02:05,6.2925,6.3090,6.2888,6.3037,5399.0,34033.68,421591456000.00,3056538056000.00
2026-07-27 02:10:00,2026-07-27,02:10,6.3066,6.3087,6.2801,6.2858,4855.1,30518.19,420394304000.00,3047858704000.00
2026-07-27 02:15:00,2026-07-27,02:15,6.2868,6.3000,6.2673,6.2751,6775.5,42516.94,419678688000.00,3042670488000.00
2026-07-27 02:20:00,2026-07-27,02:20,6.2687,6.2705,6.1800,6.1814,29719.2,183706.26,413412032000.00,2997237232000.00
2026-07-27 02:25:00,2026-07-27,02:25,6.1800,6.1800,6.1568,6.1710,11709.8,72261.18,412716480000.00,2992194480000.00
2026-07-27 02:30:00,2026-07-27,02:30,6.1736,6.2909,6.1700,6.2908,27638.4,173867.65,420728704000.00,3050283104000.00
2026-07-27 02:35:00,2026-07-27,02:35,6.2845,6.3499,6.2286,6.3499,23543.3,149497.60,424681312000.00,3078939512000.00
2026-07-27 02:40:00,2026-07-27,02:40,6.3459,6.3750,6.3329,6.3631,18757.9,119358.39,425564128000.00,3085339928000.00
2026-07-27 02:45:00,2026-07-27,02:45,6.3633,6.3966,6.3600,6.3861,20207.6,129047.75,427102368000.00,3096492168000.00
2026-07-27 02:50:00,2026-07-27,02:50,6.3855,6.3941,6.3443,6.3683,12846.3,81809.09,425911904000.00,3087861304000.00
2026-07-27 02:55:00,2026-07-27,02:55,6.3698,6.3996,6.3649,6.3920,7321.1,46796.47,427496960000.00,3099352960000.00
2026-07-27 03:00:00,2026-07-27,03:00,6.3780,6.3992,6.3300,6.3348,12224.2,77437.86,423671424000.00,3071617824000.00
2026-07-27 03:05:00,2026-07-27,03:05,6.3377,6.3505,6.2945,6.2969,11601.4,73052.86,421136672000.00,3053240872000.00
2026-07-27 03:10:00,2026-07-27,03:10,6.2933,6.3203,6.2707,6.2786,14210.2,89220.16,419912768000.00,3044367568000.00
2026-07-27 03:15:00,2026-07-27,03:15,6.2818,6.3152,6.2200,6.2397,11544.9,72036.71,417311136000.00,3025505736000.00
2026-07-27 03:20:00,2026-07-27,03:20,6.2428,6.2531,6.2200,6.2431,6771.2,42273.28,417538528000.00,3027154328000.00
2026-07-27 03:25:00,2026-07-27,03:25,6.2451,6.2486,6.2100,6.2273,7432.2,46282.54,416481824000.00,3019493224000.00
2026-07-27 03:30:00,2026-07-27,03:30,6.2278,6.2742,6.2222,6.2385,6276.4,39155.32,417230880000.00,3024923880000.00
2026-07-27 03:35:00,2026-07-27,03:35,6.2411,6.3218,6.2241,6.3218,10425.0,65904.76,422801984000.00,3065314384000.00
2026-07-27 03:40:00,2026-07-27,03:40,6.3218,6.3812,6.3101,6.3500,13691.0,86937.85,424688000000.00,3078988000000.00
2026-07-27 03:45:00,2026-07-27,03:45,6.3535,6.3655,6.3104,6.3163,8742.0,55217.09,422434144000.00,3062647544000.00
2026-07-27 03:50:00,2026-07-27,03:50,6.3198,6.3200,6.2929,6.2969,7600.1,47857.07,421136672000.00,3053240872000.00
2026-07-27 03:55:00,2026-07-27,03:55,6.2983,6.3000,6.2697,6.2921,5185.9,32630.20,420815648000.00,3050913448000.00
2026-07-27 04:00:00,2026-07-27,04:00,6.2969,6.2970,6.2632,6.2685,5646.0,35391.95,419237280000.00,3039470280000.00
2026-07-27 04:05:00,2026-07-27,04:05,6.2694,6.2818,6.2633,6.2738,8520.3,53454.66,419591744000.00,3042040144000.00
2026-07-27 04:10:00,2026-07-27,04:10,6.2768,6.4721,6.2768,6.4356,77646.5,499701.82,430412928000.00,3120493728000.00
2026-07-27 04:15:00,2026-07-27,04:15,6.4356,6.4710,6.4127,6.4542,9021.4,58225.92,431656896000.00,3129512496000.00
2026-07-27 04:20:00,2026-07-27,04:20,6.4604,6.4628,6.4255,6.4275,4501.5,28933.39,429871200000.00,3116566200000.00
2026-07-27 04:25:00,2026-07-27,04:25,6.4318,6.4430,6.4063,6.4166,5365.4,34427.63,429142208000.00,3111281008000.00
2026-07-27 04:30:00,2026-07-27,04:30,6.4139,6.4590,6.4139,6.4272,5279.2,33930.47,429851136000.00,3116420736000.00
2026-07-27 04:35:00,2026-07-27,04:35,6.4394,6.4734,6.3600,6.4219,11204.8,71956.11,429496672000.00,3113850872000.00
2026-07-27 04:40:00,2026-07-27,04:40,6.4226,6.4833,6.4008,6.4212,9739.7,62540.56,429449856000.00,3113511456000.00
2026-07-27 04:45:00,2026-07-27,04:45,6.4219,6.4856,6.4219,6.4770,14781.1,95737.18,433181760000.00,3140567760000.00
2026-07-27 04:50:00,2026-07-27,04:50,6.4790,6.5000,6.4609,6.4706,11087.9,71745.37,432753728000.00,3137464528000.00
2026-07-27 04:55:00,2026-07-27,04:55,6.4744,6.4800,6.4425,6.4556,12019.0,77589.86,431750528000.00,3130191328000.00
2026-07-27 05:00:00,2026-07-27,05:00,6.4636,6.4700,6.4350,6.4647,7520.3,48616.48,432359136000.00,3134603736000.00
2026-07-27 05:05:00,2026-07-27,05:05,6.4614,6.4692,6.4243,6.4512,6709.1,43281.75,431456256000.00,3128057856000.00
2026-07-27 05:10:00,2026-07-27,05:10,6.4526,6.4763,6.4218,6.4707,11059.4,71562.06,432760416000.00,3137513016000.00
2026-07-27 05:15:00,2026-07-27,05:15,6.4707,6.4763,6.4419,6.4461,22797.1,146952.39,431115168000.00,3125584968000.00
2026-07-27 05:20:00,2026-07-27,05:20,6.4403,6.4763,6.4347,6.4750,8535.9,55269.95,433048000000.00,3139598000000.00
2026-07-27 05:25:00,2026-07-27,05:25,6.4750,6.5000,6.4600,6.4897,11207.4,72732.66,434031136000.00,3146725736000.00
2026-07-27 05:30:00,2026-07-27,05:30,6.4897,6.4980,6.3300,6.3724,20850.2,132865.81,426186112000.00,3089849312000.00
2026-07-27 05:35:00,2026-07-27,05:35,6.3723,6.3978,6.3452,6.3800,6746.3,43041.39,426694400000.00,3093534400000.00
2026-07-27 05:40:00,2026-07-27,05:40,6.3762,6.3854,6.2106,6.2451,12421.1,77571.01,417672288000.00,3028124088000.00
2026-07-27 05:45:00,2026-07-27,05:45,6.2476,6.4172,6.2100,6.3894,17275.1,110377.52,427323072000.00,3098092272000.00
2026-07-27 05:50:00,2026-07-27,05:50,6.3726,6.3997,6.3461,6.3715,6531.3,41614.18,426125920000.00,3089412920000.00
2026-07-27 05:55:00,2026-07-27,05:55,6.3716,6.3833,6.3200,6.3200,10519.1,66480.71,422681600000.00,3064441600000.00
