datetime_utc,timestamp_ms,open,high,low,close,volume_shares,volume_usd,trade_count
2026-07-26 10:45:00+00:00,1785062700000,1225.5,1226.0,1224.3,1225.4,267.455,327739.357,396
2026-07-26 11:00:00+00:00,1785063600000,1225.7,1226.6,1223.9,1223.9,371.574,454769.41860000003,447
2026-07-26 11:15:00+00:00,1785064500000,1223.9,1226.4,1222.9,1225.9,449.389,550905.9751,397
2026-07-26 11:30:00+00:00,1785065400000,1225.9,1226.5,1225.3,1225.6,266.36,326450.816,379
2026-07-26 11:45:00+00:00,1785066300000,1225.6,1225.6,1224.2,1224.6,498.991,611064.3785999999,372
2026-07-26 12:00:00+00:00,1785067200000,1224.8,1225.1,1222.7,1224.5,736.048,901290.776,477
2026-07-26 12:15:00+00:00,1785068100000,1224.7,1224.7,1218.0,1219.7,1258.275,1534718.0175,858
2026-07-26 12:30:00+00:00,1785069000000,1219.7,1220.7,1219.4,1219.5,553.283,674728.6185,426
2026-07-26 12:45:00+00:00,1785069900000,1219.6,1220.1,1217.8,1220.1,883.375,1077805.8375,591
2026-07-26 13:00:00+00:00,1785070800000,1220.0,1220.2,1218.4,1218.6,577.087,703238.2181999999,522
2026-07-26 13:15:00+00:00,1785071700000,1218.9,1221.5,1218.9,1220.4,1067.469,1302739.1676,1063
2026-07-26 13:30:00+00:00,1785072600000,1220.4,1220.5,1219.3,1219.9,281.312,343172.50880000007,487
2026-07-26 13:45:00+00:00,1785073500000,1219.9,1220.7,1219.4,1220.7,362.098,442013.0286,776
2026-07-26 14:00:00+00:00,1785074400000,1220.7,1223.5,1220.6,1221.4,884.516,1080347.8424,1393
2026-07-26 14:15:00+00:00,1785075300000,1221.5,1221.6,1219.0,1219.2,369.716,450757.74720000004,571
2026-07-26 14:30:00+00:00,1785076200000,1219.2,1220.4,1216.8,1217.8,1417.48,1726207.1439999999,1219
2026-07-26 14:45:00+00:00,1785077100000,1218.2,1219.8,1216.1,1217.2,538.896,655944.2112,546
2026-07-26 15:00:00+00:00,1785078000000,1217.2,1217.6,1216.8,1217.2,324.263,394692.9236,420
